Avatar,Action|Adventure|Fantasy|Sci-Fi,10680,212
Pirates of the Caribbean: At World's End,Action|Adventure|Fantasy,10140,156
Spectre,Action|Adventure|Thriller,8880,211
The Dark Knight Rises,Action|Thriller,9840,131
John Carter,Action|Adventure|Sci-Fi,7920,121
Spider-Man 3,Action|Adventure|Romance,9360,147
Tangled,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,6000,126
Avengers: Age of Ultron,Action|Adventure|Sci-Fi,8460,137
Harry Potter and the Half-Blood Prince,Adventure|Family|Fantasy|Mystery,9180,147
Batman v Superman: Dawn of Justice,Action|Adventure|Sci-Fi,10980,220
Superman Returns,Action|Adventure|Sci-Fi,10140,155
Quantum of Solace,Action|Adventure,6360,148
Pirates of the Caribbean: Dead Man's Chest,Action|Adventure|Fantasy,9060,128
The Lone Ranger,Action|Adventure|Western,9000,153
Man of Steel,Action|Adventure|Fantasy|Sci-Fi,8580,183
The Chronicles of Narnia: Prince Caspian,Action|Adventure|Family|Fantasy,9000,163
The Avengers,Action|Adventure|Sci-Fi,10380,146
Pirates of the Caribbean: On Stranger Tides,Action|Adventure|Fantasy,8160,149
Men in Black 3,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,6360,118
The Hobbit: The Battle of the Five Armies,Adventure|Fantasy,9840,154
The Amazing Spider-Man,Action|Adventure|Fantasy,9180,154
Robin Hood,Action|Adventure|Drama|History,9360,159
The Hobbit: The Desolation of Smaug,Adventure|Fantasy,11160,129
The Golden Compass,Adventure|Family|Fantasy,6780,190
King Kong,Action|Adventure|Drama|Romance,12060,176
Titanic,Drama|Romance,11640,122
Captain America: Civil War,Action|Adventure|Sci-Fi,8820,145
Battleship,Action|Adventure|Sci-Fi|Thriller,7860,150
Jurassic World,Action|Adventure|Sci-Fi|Thriller,7440,161
Skyfall,Action|Adventure|Thriller,8580,154
Spider-Man 2,Action|Adventure|Fantasy|Romance,8100,120
Iron Man 3,Action|Adventure|Sci-Fi,11700,164
Alice in Wonderland,Adventure|Family|Fantasy,6480,156
X-Men: The Last Stand,Action|Adventure|Fantasy|Sci-Fi|Thriller,6240,151
Monsters University,Adventure|Animation|Comedy|Family|Fantasy,6240,136
Transformers: Revenge of the Fallen,Action|Adventure|Sci-Fi,9000,154
Transformers: Age of Extinction,Action|Adventure|Sci-Fi,9900,154
Oz the Great and Powerful,Adventure|Family|Fantasy,7800,165
The Amazing Spider-Man 2,Action|Adventure|Fantasy|Sci-Fi,8520,169
TRON: Legacy,Action|Adventure|Sci-Fi,7500,141
Cars 2,Adventure|Animation|Comedy|Family|Sport,6360,87
Green Lantern,Action|Adventure|Sci-Fi,7380,151
Toy Story 3,Adventure|Animation|Comedy|Family|Fantasy,6180,139
Terminator Salvation,Action|Adventure|Sci-Fi,7080,145
Furious 7,Action|Crime|Thriller,8400,163
World War Z,Action|Adventure|Horror|Sci-Fi|Thriller,7380,143
X-Men: Days of Future Past,Action|Adventure|Fantasy|Sci-Fi|Thriller,8940,138
Star Trek Into Darkness,Action|Adventure|Sci-Fi,7920,151
Jack the Giant Slayer,Adventure|Fantasy,6840,147
The Great Gatsby,Drama|Romance,8580,147
Prince of Persia: The Sands of Time,Action|Adventure|Fantasy|Romance,6960,151
Pacific Rim,Action|Adventure|Sci-Fi,7860,152
Transformers: Dark of the Moon,Action|Adventure|Sci-Fi,9240,151
Indiana Jones and the Kingdom of the Crystal Skull,Action|Adventure|Fantasy,7320,116
The Good Dinosaur,Adventure|Animation|Comedy|Family|Fantasy,5580,147
Brave,Adventure|Animation|Comedy|Family|Fantasy,5580,152
Star Trek Beyond,Action|Adventure|Sci-Fi|Thriller,7320,95
WALL·E,Adventure|Animation|Family|Sci-Fi,5880,151
Rush Hour 3,Action|Comedy|Crime|Thriller,5460,147
2012,Action|Adventure|Sci-Fi,9480,79
A Christmas Carol,Animation|Drama|Family|Fantasy,5760,155
Jupiter Ascending,Action|Adventure|Sci-Fi,7620,153
The Legend of Tarzan,Action|Adventure|Drama|Romance,6600,128
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure|Family|Fantasy,9000,149
X-Men: Apocalypse,Action|Adventure|Sci-Fi,8640,154
The Dark Knight,Action|Crime|Drama|Thriller,9120,151
Up,Adventure|Animation|Comedy|Family,5760,151
Monsters vs. Aliens,Action|Adventure|Animation|Comedy|Family|Sci-Fi,5640,146
Iron Man,Action|Adventure|Sci-Fi,7560,150
Hugo,Adventure|Drama|Family|Mystery,7560,147
Wild Wild West,Action|Comedy|Sci-Fi|Western,6360,123
The Mummy: Tomb of the Dragon Emperor,Action|Adventure|Fantasy|Horror|Thriller,6720,149
Suicide Squad,Action|Adventure|Comedy|Sci-Fi,7380,152
Evan Almighty,Comedy|Family|Fantasy,5760,173
Edge of Tomorrow,Action|Adventure|Sci-Fi,6780,154
Waterworld,Action|Adventure|Sci-Fi|Thriller,10560,129
G.I. Joe: The Rise of Cobra,Action|Adventure|Sci-Fi|Thriller,7080,141
Inside Out,Adventure|Animation|Comedy|Drama|Family|Fantasy,5700,149
The Jungle Book,Adventure|Drama|Family|Fantasy,6360,136
Iron Man 2,Action|Adventure|Sci-Fi,7440,178
Snow White and the Huntsman,Action|Adventure|Drama|Fantasy,7920,112
Maleficent,Action|Adventure|Family|Fantasy|Romance,5820,127
Dawn of the Planet of the Apes,Action|Adventure|Drama|Sci-Fi,7800,159
The Lovers,Action|Adventure|Romance|Sci-Fi,6540,145
47 Ronin,Action|Adventure|Drama|Fantasy,7680,151
Captain America: The Winter Soldier,Action|Adventure|Sci-Fi,8160,151
Shrek Forever After,Adventure|Animation|Comedy|Family|Fantasy,5580,151
Tomorrowland,Action|Adventure|Family|Mystery|Sci-Fi,7800,144
Big Hero 6,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,6120,149
Wreck-It Ralph,Adventure|Animation|Comedy|Family|Sci-Fi,6060,151
The Polar Express,Adventure|Animation|Family|Fantasy,6000,143
Independence Day: Resurgence,Action|Adventure|Sci-Fi,7200,142
How to Train Your Dragon,Adventure|Animation|Family|Fantasy,5880,146
Terminator 3: Rise of the Machines,Action|Sci-Fi,6540,144
Guardians of the Galaxy,Action|Adventure|Sci-Fi,7260,151
Interstellar,Adventure|Drama|Sci-Fi,10140,175
Inception,Action|Adventure|Sci-Fi|Thriller,8880,144
Godzilla Resurgence,Action|Adventure|Drama|Horror|Sci-Fi,7200,122
The Hobbit: An Unexpected Journey,Adventure|Fantasy,10920,152
The Fast and the Furious,Action|Crime|Thriller,6360,131
The Curious Case of Benjamin Button,Drama|Fantasy|Romance,9960,140
X-Men: First Class,Action|Adventure|Sci-Fi,7920,165
The Hunger Games: Mockingjay - Part 2,Adventure|Sci-Fi,8220,155
The Sorcerer's Apprentice,Action|Adventure|Family|Fantasy,6540,152
Poseidon,Action|Adventure|Drama|Thriller,5880,151
Alice Through the Looking Glass,Adventure|Family|Fantasy,6780,139
Shrek the Third,Adventure|Animation|Comedy|Family|Fantasy,5580,145
